\u0023	#
\u002a	*
\u0030	0
\u0031	1
\u0032	2
\u0033	3
\u0034	4
\u0035	5
\u0036	6
\u0037	7
\u0038	8
\u0039	9
\u00a9	©
\u00ae	®
\u203c	‼
\u2049	⁉
\u2122	™
\u2139	ℹ
\u2194	↔
\u2195	↕
\u2196	↖
\u2197	↗
\u2198	↘
\u2199	↙
\u21a9	↩
\u21aa	↪
\u231a	⌚
\u231b	⌛
\u2328	⌨
\u23cf	⏏
\u23e9	⏩
\u23ea	⏪
\u23eb	⏫
\u23ec	⏬
\u23ed	⏭
\u23ee	⏮
\u23ef	⏯
\u23f0	⏰
\u23f1	⏱
\u23f2	⏲
\u23f3	⏳
\u23f8	⏸
\u23f9	⏹
\u23fa	⏺
\u24c2	Ⓜ
\u25aa	▪
\u25ab	▫
\u25b6	▶
\u25c0	◀
\u25fb	◻
\u25fc	◼
\u25fd	◽
\u25fe	◾
\u2600	☀
\u2601	☁
\u2602	☂
\u2603	☃
\u2604	☄
\u260e	☎
\u2611	☑
\u2614	☔
\u2615	☕
\u2618	☘
\u261d	☝
\u2620	☠
\u2622	☢
\u2623	☣
\u2626	☦
\u262a	☪
\u262e	☮
\u262f	☯
\u2638	☸
\u2639	☹
\u263a	☺
\u2640	♀
\u2642	♂
\u2648	♈
\u2649	♉
\u264a	♊
\u264b	♋
\u264c	♌
\u264d	♍
\u264e	♎
\u264f	♏
\u2650	♐
\u2651	♑
\u2652	♒
\u2653	♓
\u2660	♠
\u2663	♣
\u2665	♥
\u2666	♦
\u2668	♨
\u267b	♻
\u267f	♿
\u2692	⚒
\u2693	⚓
\u2694	⚔
\u2695	⚕
\u2696	⚖
\u2697	⚗
\u2699	⚙
\u269b	⚛
\u269c	⚜
\u26a0	⚠
\u26a1	⚡
\u26aa	⚪
\u26ab	⚫
\u26b0	⚰
\u26b1	⚱
\u26bd	⚽
\u26be	⚾
\u26c4	⛄
\u26c5	⛅
\u26c8	⛈
\u26ce	⛎
\u26cf	⛏
\u26d1	⛑
\u26d3	⛓
\u26d4	⛔
\u26e9	⛩
\u26ea	⛪
\u26f0	⛰
\u26f1	⛱
\u26f2	⛲
\u26f3	⛳
\u26f4	⛴
\u26f5	⛵
\u26f7	⛷
\u26f8	⛸
\u26f9	⛹
\u26fa	⛺
\u26fd	⛽
\u2702	✂
\u2705	✅
\u2708	✈
\u2709	✉
\u270a	✊
\u270b	✋
\u270c	✌
\u270d	✍
\u270f	✏
\u2712	✒
\u2714	✔
\u2716	✖
\u271d	✝
\u2721	✡
\u2728	✨
\u2733	✳
\u2734	✴
\u2744	❄
\u2747	❇
\u274c	❌
\u274e	❎
\u2753	❓
\u2754	❔
\u2755	❕
\u2757	❗
\u2763	❣
\u2764	❤
\u2795	➕
\u2796	➖
\u2797	➗
\u27a1	➡
\u27b0	➰
\u27bf	➿
\u2934	⤴
\u2935	⤵
\u2b05	⬅
\u2b06	⬆
\u2b07	⬇
\u2b1b	⬛
\u2b1c	⬜
\u2b50	⭐
\u2b55	⭕
\u3030	〰
\u303d	〽
\u3297	㊗
\u3299	㊙
\U0001f004	🀄
\U0001f0cf	🃏
\U0001f170	🅰
\U0001f171	🅱
\U0001f17e	🅾
\U0001f17f	🅿
\U0001f18e	🆎
\U0001f191	🆑
\U0001f192	🆒
\U0001f193	🆓
\U0001f194	🆔
\U0001f195	🆕
\U0001f196	🆖
\U0001f197	🆗
\U0001f198	🆘
\U0001f199	🆙
\U0001f19a	🆚
\U0001f1e6	🇦
\U0001f1e7	🇧
\U0001f1e8	🇨
\U0001f1e9	🇩
\U0001f1ea	🇪
\U0001f1eb	🇫
\U0001f1ec	🇬
\U0001f1ed	🇭
\U0001f1ee	🇮
\U0001f1ef	🇯
\U0001f1f0	🇰
\U0001f1f1	🇱
\U0001f1f2	🇲
\U0001f1f3	🇳
\U0001f1f4	🇴
\U0001f1f5	🇵
\U0001f1f6	🇶
\U0001f1f7	🇷
\U0001f1f8	🇸
\U0001f1f9	🇹
\U0001f1fa	🇺
\U0001f1fb	🇻
\U0001f1fc	🇼
\U0001f1fd	🇽
\U0001f1fe	🇾
\U0001f1ff	🇿
\U0001f201	🈁
\U0001f202	🈂
\U0001f21a	🈚
\U0001f22f	🈯
\U0001f232	🈲
\U0001f233	🈳
\U0001f234	🈴
\U0001f235	🈵
\U0001f236	🈶
\U0001f237	🈷
\U0001f238	🈸
\U0001f239	🈹
\U0001f23a	🈺
\U0001f250	🉐
\U0001f251	🉑
\U0001f300	🌀
\U0001f301	🌁
\U0001f302	🌂
\U0001f303	🌃
\U0001f304	🌄
\U0001f305	🌅
\U0001f306	🌆
\U0001f307	🌇
\U0001f308	🌈
\U0001f309	🌉
\U0001f30a	🌊
\U0001f30b	🌋
\U0001f30c	🌌
\U0001f30d	🌍
\U0001f30e	🌎
\U0001f30f	🌏
\U0001f310	🌐
\U0001f311	🌑
\U0001f312	🌒
\U0001f313	🌓
\U0001f314	🌔
\U0001f315	🌕
\U0001f316	🌖
\U0001f317	🌗
\U0001f318	🌘
\U0001f319	🌙
\U0001f31a	🌚
\U0001f31b	🌛
\U0001f31c	🌜
\U0001f31d	🌝
\U0001f31e	🌞
\U0001f31f	🌟
\U0001f320	🌠
\U0001f321	🌡
\U0001f324	🌤
\U0001f325	🌥
\U0001f326	🌦
\U0001f327	🌧
\U0001f328	🌨
\U0001f329	🌩
\U0001f32a	🌪
\U0001f32b	🌫
\U0001f32c	🌬
\U0001f32d	🌭
\U0001f32e	🌮
\U0001f32f	🌯
\U0001f330	🌰
\U0001f331	🌱
\U0001f332	🌲
\U0001f333	🌳
\U0001f334	🌴
\U0001f335	🌵
\U0001f336	🌶
\U0001f337	🌷
\U0001f338	🌸
\U0001f339	🌹
\U0001f33a	🌺
\U0001f33b	🌻
\U0001f33c	🌼
\U0001f33d	🌽
\U0001f33e	🌾
\U0001f33f	🌿
\U0001f340	🍀
\U0001f341	🍁
\U0001f342	🍂
\U0001f343	🍃
\U0001f344	🍄
\U0001f345	🍅
\U0001f346	🍆
\U0001f347	🍇
\U0001f348	🍈
\U0001f349	🍉
\U0001f34a	🍊
\U0001f34b	🍋
\U0001f34c	🍌
\U0001f34d	🍍
\U0001f34e	🍎
\U0001f34f	🍏
\U0001f350	🍐
\U0001f351	🍑
\U0001f352	🍒
\U0001f353	🍓
\U0001f354	🍔
\U0001f355	🍕
\U0001f356	🍖
\U0001f357	🍗
\U0001f358	🍘
\U0001f359	🍙
\U0001f35a	🍚
\U0001f35b	🍛
\U0001f35c	🍜
\U0001f35d	🍝
\U0001f35e	🍞
\U0001f35f	🍟
\U0001f360	🍠
\U0001f361	🍡
\U0001f362	🍢
\U0001f363	🍣
\U0001f364	🍤
\U0001f365	🍥
